Breed,Breed Group AKC,Breed Group CKC,Breed Group UKC,CKC Subgroup,height_low_inches,height_high_inches,average height,weight_low_lbs,weight_high_lbs,average weight,Lifespan Low,Lifespan High,average lifespan,Details,Alternate Names,FCI Classification,FCI Classification_2,AKC Breed Popularity Rank (of 197),Geographic Origin
Rhodesian Ridgeback,Hound Group,Group 7: Scenthounds and Related Breeds ,Sighthound & Pariah,7-D: Scenthound Related Breeds,24,27,25.5,65,85,75,9,15,12,,"African Lion Dog, African Lion Hound ",,,41,Zimbabwe
Rottweiler,Working Group,Group 3: Molossoids and Mastiffs Breeds ,Guardian Dog,None,22,27,24.5,90,135,112.5,9,10,9.5,,,,,8,Germany
Saint Bernard,Working Group,Group 9: Large Guardian Pastoral/Mountain Dogs ,Guardian Dog,9-B: Large Pastoral/Mountain Dogs and Related Breeds ,25,36,30.5,120,200,160,8,10,9,,Alpine Mastiff,,,48,Switzerland 
Saluki,Hound Group,Not Recognized,Sighthound & Pariah,Not Recognized,23,28,25.5,40,65,52.5,10,17,13.5,"Among the world?s oldest breeds, the slim but rugged Saluki was the hunting hound of kings for thousands of years. Salukis are swift and agile sprinters who love a good chase. They make gentle, dignified, and independent but loyal pets. (AKC)",,,,120,Middle East
Samoyed,Working Group,Group 2: Spitz and Nordic Breeds,Northern,2-D: Nordic Sled Dogs ,19,24,21.5,35,65,50,12,14,13,"These dogs were kept by a native tribe to ancient Siberia known as the Samoyeds. The Samoyeds were used to pull sleds, herd reindeer, and hunt animals ? including the polar bear. ?Even though it is largely used as a companion dog today, it still retains many of the traits that made it a staple in Siberia. (petguide.com)",,,,59,Russia/Siberia
Schapendoes,Foundation Stock Service,Not Recognized,Herding Dog,Not Recognized,16,20,18,26,55,40.5,12,15,13.5,,Dutch Sheepdog,Group 1 Sheepdogs and Cattle Dogs ,Section 1 Sheepdogs,N/A,Netherlands
Schipperke,Non-Sporting Group,Group 10: Pastoral and Stock Dog Breeds ,Companion Dog,10-D: Small Pastoral Dogs ,10,13,11.5,10,19,14.5,12,14,13,"Well-suited for closed environments, the Schipperke is energetic and playful, and has a confidence that means it will not get lost in the shuffle of your daily life. (petguide.com)","Little Boat Captain, Little Shepherd, Moorke, Spitzke",,,105,Belgium
"Schnauzer, Standard",Working Group,Group 5: Pinschers and Schnauzers ,Guardian Dog,5-A: Large Pinschers and Schnauzers,17,22,19.5,28,50,39,13,16,14.5,,,,,89,Scotland
Scottish Deerhound,Hound Group,Group 8: Sighthound Breeds ,Sighthound & Pariah,None,27,32,29.5,75,110,92.5,8,11,9.5,,,,,158,Scotland
Scottish Terrier,Terrier Group,Group 6: Terrier Breeds ,Terrier,6-C: Small Terriers ,10,11,10.5,18,23,20.5,12,14,13,,Aberdeen Terrier,,,57,Great Britain
Sealyham Terrier,Terrier Group,Group 6: Terrier Breeds ,Terrier,None,10,12,11,18,25,21.5,12,14,13,"The Sealyham Terrier was born of a desire to produce the perfect terrier. Captain John Edwards of Sealyham estate used ancestors of the Bull Terrier, Welsh Corgi, Dandie Dinmont, West Highland White Terrier, and the now extinct English White Terrier and the Cheshire Terrier to produce a small-yet-fierce terrier capable of keeping up with horses and going to ground. (CKC)",,,,164,Scotland
Shetland Sheepdog,Herding Group,Group 10: Pastoral and Stock Dog Breeds ,Herding Dog,10-D: Small Pastoral Dogs,13,16,14.5,14,20,17,12,14,13,,Sheltie,,,25,Japan
Shiba Inu,Non-Sporting Group,Group 2: Spitz and Nordic Breeds,Northern,2-C: Asian Spitz Breeds ,13,17,15,16,24,20,13,16,14.5,,,,,44,Tibet/China
Shih Tzu,Toy Group,Group 12: Companion and Toy Breeds,Companion Dog,12-B: Asian Breeds ,8,11,9.5,9,18,13.5,10,18,14,,"Chinese Lion Dog, Chrysanthemum Dog ",,,20,Siberia
Siberian Husky,Working Group,Group 2: Spitz and Nordic Breeds ,Northern,2-D: Nordic Sled Dogs ,19,24,21.5,35,60,47.5,12,14,13,,Arctic Husky,,,14,Australia
Silky Terrier,Toy Group,Group 6: Terrier Breeds ,Terrier,6-C: Small Terriers ,9,10,9.5,8,10,9,13,15,14,,"Australian Silky Terrier, Silky Toy Terrier, Sydney Silky ",,,112,Scotland
Skye Terrier,Terrier Group,Group 6: Terrier Breeds ,Terrier,None,7,10,8.5,18,40,29,12,14,13,,,,,178,England
Smooth Fox Terrier,Terrier Group,Group 6: Terrier Breeds ,Terrier,None,15,16,15.5,15,18,16.5,12,15,13.5,,,,,123,Ireland
Spinone Italiano,Sporting Group,Group 11: Gun Dog Breeds ,Gun Dog,None,22,28,25,62,86,74,10,12,11,,"Italian Coarse-Haired Pointer, Italian Spinone, Italian Griffon, Italian Wire-Haired Pointing Dog ",,,109,Italy
Staffordshire Bull Terrier,Terrier Group,Group 4: Bull Breeds,Terrier,4-B: Bull-and-Terrier Breeds ,14,16,15,24,38,31,12,14,13,,,,,80,England
Sussex Spaniel,Sporting Group,Group 11: Gun Dog Breeds,Gun Dog,None,13,16,14.5,35,51,43,13,15,14,,,,,180,Germany
Tibetan Mastiff,Working Group,Group 9: Large Guardian Pastoral/Mountain Dogs ,Guardian Dog,None,24,30,27,70,160,115,10,12,11,,Do-Khyi ,,,131,England
Tibetan Spaniel,Non-Sporting Group,Group 12: Companion and Toy Breeds ,Companion Dog,12-B: Asian Breeds,9,11,10,9,15,12,12,15,13.5,,,,,119,Tibet  
Tibetan Terrier,Non-Sporting Group,Group 12: Companion and Toy Breeds ,Companion Dog,12-B: Asian Breeds ,14,17,15.5,18,30,24,15,16,15.5,,Dhoki Apso ,,,96,Tibet
Toy Fox Terrier,Toy Group,Group 6: Terrier Breeds ,Terrier,6-C: Small Terriers,8,12,10,3.5,8,5.75,13,15,14,,American Toy Terrier,,,111,Tibet
Treeing Tennessee Brindle,Foundation Stock Service,Group 7: Scenthounds and Related Breeds ,Scenthound,None,16,24,20,30,50,40,10,12,11,,"Treeing Walker, Walker Coonhound, Walker Hound ",,,N/A,United States
Treeing Walker Coonhound,Hound Group,Group 7: Scenthounds and Related Breeds ,Scenthound,7-A: Large Scenthounds ,20,27,23.5,50,70,60,12,13,12.5,,,, ,137,United States
Vizsla,Sporting Group,Group 11: Gun Dog Breeds ,Gun Dog,11-A: Pointing Dogs ,21,25,23,44,66,55,12,14,13,,,,,31,United States
Weimaraner,Sporting Group,Group 11: Gun Dog Breeds ,Gun Dog,11-A: Pointing Dogs ,22,28,25,55,90,72.5,10,13,11.5,,,,,36,Hungary
Welsh Springer Spaniel,Sporting Group,Group 11: Gun Dog Breeds,Gun Dog,None,17,19,18,35,55,45,12,15,13.5,,,,,128,Germany
Welsh Terrier,Terrier Group,Group 6: Terrier Breeds ,Terrier,None,14,16,15,19,22,20.5,12,15,13.5,,,,,107,Wales
West Highland White Terrier,Terrier Group,Group 6: Terrier Breeds ,Terrier,6-C: Small Terriers ,10,12,11,15,22,18.5,13,15,14,,Westie,,,42,Wales
"Wheaten Terrier, Soft-Coated",Terrier Group,Group 6: Terrier Breeds ,Terrier,6-A: Large Terriers ,17,20,18.5,30,40,35,12,14,13,,,,,53,Scotland
Whippet,Hound Group,Group 8: Sighthound Breeds,Sighthound & Pariah,8-A: Smooth Coated Sighthounds ,17,22,19.5,25,40,32.5,12,15,13.5,,,,,61,Great Britain
Wire Fox Terrier,Terrier Group,Group 6: Terrier Breeds ,Terrier,6-B: Medium Terriers ,15,16,15.5,15,18,16.5,12,15,13.5,,,,,101,England
Wirehaired Pointing Griffon,Sporting Group,Not Recognized,Gun Dog,Not Recognized,20,24,22,35,70,52.5,12,15,13.5,"A relatively young breed, the Wirehaired Pointing Griffon is the result of mixing Griffon, Spaniel, Pointer, and Setter breeds.",,,,65,Germany
Yorkshire Terrier,Toy Group,Group 6: Terrier Breeds ,Companion Dog,6-C: Small Terriers ,6,8,7,4,7,5.5,11,15,13,,"Broken-Haired Scotch Terrier, Yorkie ",,,10,England
